ts0,ts1,bcr1,bcr2,bcr3
1647400000.0,8606,0.016,1.388,0.0
1647400000.0,8653,0.016,1.249,0.0
1647400000.0,8700,0.016,1.33,0.0
1647400000.0,8747,0.016,1.509,0.0
1647400000.0,8827,0.016,1.517,0.0
1647400000.0,8874,0.016,1.533,0.0
1647400000.0,8921,0.016,4.37,0.0
1647400000.0,8968,0.016,1.03,0.0
1647400000.0,9015,0.016,1.341,0.0
1647400000.0,9062,0.016,1.332,0.0
1647400000.0,9108,0.016,1.509,0.0
1647400000.0,9179,0.016,1.378,0.0
1647400000.0,9226,0.017,1.463,0.0
1647400000.0,9273,0.016,1.504,0.0
1647400000.0,9320,0.016,1.266,0.0
1647400000.0,9368,0.016,1.255,0.0
1647400000.0,9415,0.016,1.325,0.0
1647400000.0,9473,0.016,1.385,0.0
1647400000.0,9531,0.016,1.526,0.0
1647400000.0,9578,0.017,1.272,0.0
1647400000.0,9633,0.016,0.981,0.0
1647400000.0,9679,0.016,1.255,0.0
1647400000.0,9726,0.016,1.441,0.0
1647400000.0,9784,0.016,1.419,0.0
1647400000.0,9855,0.016,1.517,0.0
1647400000.0,9902,0.016,1.314,0.0
1647400000.0,9949,0.017,1.47,0.0
1647400000.0,9996,0.016,1.311,0.0
1647400000.0,10044,0.017,1.508,0.0
1647400000.0,10099,0.016,1.319,0.0
1647400000.0,10146,0.016,1.017,0.0
1647400000.0,10203,0.016,1.518,0.0
1647400000.0,10250,0.016,1.259,0.0
1647400000.0,10305,0.016,1.5,0.0
1647400000.0,10352,0.016,1.296,0.0
1647400000.0,10433,0.016,1.506,0.0
1647400000.0,10481,0.016,1.265,0.0
1647400000.0,10537,0.016,1.291,0.0
1647400000.0,10584,0.016,1.438,0.0
1647400000.0,10630,0.016,1.324,0.0
1647400000.0,10677,0.016,1.253,0.0
1647400000.0,10724,0.016,1.468,0.0
1647400000.0,10790,0.017,1.273,0.0
1647400000.0,10850,0.016,1.53,0.0
1647400000.0,10897,0.016,1.29,0.0
1647400000.0,10948,0.016,1.35,0.0
1647400000.0,10995,0.016,1.277,0.0
1647400000.0,11042,0.017,1.508,0.0
1647400000.0,11100,0.016,1.567,0.0
1647400000.0,11187,0.016,1.454,0.0
1647400000.0,11233,0.016,1.513,0.0
1647400000.0,11280,0.016,1.264,0.0
1647400000.0,11327,0.016,1.515,0.0
1647400000.0,11374,0.016,1.61,0.0
1647400000.0,11421,0.016,1.517,0.0
1647400000.0,11468,0.015,1.446,0.0
1647400000.0,11515,0.016,1.284,0.0
1647400000.0,11561,0.016,1.512,0.0
1647400000.0,11608,0.016,1.495,0.0
1647400000.0,11655,0.016,1.324,0.0
1647400000.0,11702,0.017,1.524,0.0
1647400000.0,11775,0.017,1.335,0.0
1647400000.0,11831,0.016,1.56,0.0
1647400000.0,11879,0.017,1.386,0.0
1647400000.0,11925,0.016,1.271,0.0
1647400000.0,11972,0.016,0.947,0.0
1647400000.0,12019,0.016,1.561,0.0
1647400000.0,12066,0.016,0.949,0.0
1647400000.0,12114,0.017,1.501,0.0
1647400000.0,12160,0.016,1.342,0.0
1647400000.0,12207,0.016,1.332,0.0
1647400000.0,12254,0.016,1.506,0.0
1647400000.0,12301,0.016,1.506,0.0
1647400000.0,12348,0.016,1.434,0.0
1647400000.0,12395,0.016,1.249,0.0
1647400000.0,12485,0.016,1.529,0.0
1647400000.0,12533,0.016,1.33,0.0
1647400000.0,12580,0.016,1.524,0.0
1647400000.0,12627,0.016,1.512,0.0
1647400000.0,12674,0.016,1.331,0.0
1647400000.0,12721,0.016,1.321,0.0
1647400000.0,12824,0.016,1.035,0.0
1647400000.0,12871,0.016,0.986,0.0
1647400000.0,12918,0.016,0.878,0.0
1647400000.0,12965,0.016,1.014,0.0
1647400000.0,13013,0.016,1.247,0.0
1647400000.0,13060,0.016,1.52,0.0
1647400000.0,13107,0.016,1.437,0.0
1647400000.0,13154,0.016,1.451,0.0
1647400000.0,13200,0.016,1.267,0.0
1647400000.0,13247,0.017,1.341,0.0
1647400000.0,13294,0.017,1.28,0.0
1647400000.0,13341,0.016,1.511,0.0
1647400000.0,13388,0.015,1.517,0.0
1647400000.0,13494,0.015,1.528,0.0
1647400000.0,13543,0.016,1.01,0.0
1647400000.0,13589,0.016,1.517,0.0
1647400000.0,13636,0.017,1.522,0.0
1647400000.0,13683,0.017,1.511,0.0
1647400000.0,13730,0.016,1.024,0.0
1647400000.0,13777,0.016,1.359,0.0
1647400000.0,13824,0.017,1.349,0.0
1647400000.0,13871,0.017,1.397,0.0
1647400000.0,13918,0.017,1.289,0.0
1647400000.0,13965,0.016,1.522,0.0
1647400000.0,14012,0.016,1.529,0.0
1647400000.0,14059,0.016,1.267,0.0
1647400000.0,14106,0.017,1.495,0.0
1647400000.0,14153,0.015,1.521,0.0
1647400000.0,14200,0.017,1.481,0.0
1647400000.0,14247,0.016,1.488,0.0
1647400000.0,14294,0.016,1.495,0.0
1647400000.0,14340,0.016,1.518,0.0
1647400000.0,14387,0.016,1.519,0.0
1647400000.0,14434,0.016,1.398,0.0
1647400000.0,14481,0.017,1.523,0.0
1647400000.0,14528,0.016,1.51,0.0
1647400000.0,14574,0.016,1.524,0.0
1647400000.0,14621,0.016,1.521,0.0
1647400000.0,14668,0.016,1.528,0.0
1647400000.0,14727,0.016,1.403,0.0
1647400000.0,14779,0.015,1.469,0.0
1647400000.0,14826,0.016,1.482,0.0
1647400000.0,14873,0.016,1.243,0.0
1647400000.0,14920,0.016,1.293,0.0
1647400000.0,14967,0.015,1.254,0.0
1647400000.0,15014,0.016,1.26,0.0
1647400000.0,15061,0.016,1.367,0.0
1647400000.0,15112,0.015,1.254,0.0
1647400000.0,15159,0.016,1.354,0.0
1647400000.0,15205,0.016,1.438,0.0
1647400000.0,15252,0.016,1.472,0.0
1647400000.0,15299,0.016,1.33,0.0
1647400000.0,15356,0.016,1.518,0.0
1647400000.0,15402,0.016,1.019,0.0
1647400000.0,15449,0.016,0.947,0.0
1647400000.0,15496,0.016,0.897,0.0
1647400000.0,15543,0.016,1.432,0.0
1647400000.0,15590,0.016,1.428,0.0
1647400000.0,15636,0.016,1.31,0.0
1647400000.0,15712,0.016,0.955,0.0
1647400000.0,15758,0.016,0.877,0.0
1647400000.0,15805,0.016,1.501,0.0
1647400000.0,15852,0.016,1.541,0.0
1647400000.0,15899,0.016,1.43,0.0
1647400000.0,15946,0.016,1.38,0.0
1647400000.0,15993,0.016,1.465,0.0
1647400000.0,16040,0.016,1.396,0.0
1647400000.0,16087,0.016,1.255,0.0
